index,category,series,title,sku,image_count,source_document,folder
25,消防应急,未分组,抢险救援防护腰带,HYF-9A02,1,产品册---消防应急系列4.15.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\消防应急\未分组\021_抢险救援防护腰带_HYF-9A02
26,消防应急,未分组,抢险救援防护手套,HYF-7502,1,产品册---消防应急系列4.15.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\消防应急\未分组\022_抢险救援防护手套_HYF-7502
27,消防应急,未分组,抢险救援防护靴,HYF-9602,1,产品册---消防应急系列4.15.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\消防应急\未分组\023_抢险救援防护靴_HYF-9602
28,消防应急,未分组,森林防火头盔,HYF-7101,1,产品册---消防应急系列4.15.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\消防应急\未分组\024_森林防火头盔_HYF-7101
29,消防应急,未分组,森林防火头罩,HYF-5319,1,产品册---消防应急系列4.15.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\消防应急\未分组\025_森林防火头罩_HYF-5319
30,消防应急,未分组,森林防火手套,HYF-7503,1,产品册---消防应急系列4.15.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\消防应急\未分组\026_森林防火手套_HYF-7503
31,消防应急,未分组,护目镜,HYF-7201,1,产品册---消防应急系列4.15.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\消防应急\未分组\027_护目镜_HYF-7201
32,消防应急,未分组,应急背囊,HYF-9A03,1,产品册---消防应急系列4.15.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\消防应急\未分组\028_应急背囊_HYF-9A03
33,消防应急,未分组,防火靴,HYF-9603,1,产品册---消防应急系列4.15.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\消防应急\未分组\029_防火靴_HYF-9603
34,消防应急,未分组,扑火鞋,HYF-9605,1,产品册---消防应急系列4.15.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\消防应急\未分组\030_扑火鞋_HYF-9605
35,消防应急,未分组,水域救援头盔,HYF-9106,1,产品册---消防应急系列4.15.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\消防应急\未分组\031_水域救援头盔_HYF-9106
36,消防应急,未分组,水域救援手套,HYF-9503,1,产品册---消防应急系列4.15.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\消防应急\未分组\032_水域救援手套_HYF-9503
37,消防应急,未分组,激流救生衣,HYF-9907,1,产品册---消防应急系列4.15.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\消防应急\未分组\033_激流救生衣_HYF-9907
38,消防应急,未分组,水域救援靴,HYF-9609,1,产品册---消防应急系列4.15.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\消防应急\未分组\034_水域救援靴_HYF-9609
