index,title,series,sku,image_count,folder
1,500kV带电作业用屏蔽服,,HYF-3701,8,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册---屏蔽服 系列4.15\按商品拆分\001_500kV带电作业用屏蔽服
2,750kV带电作业用屏蔽服,,HYF-3702,8,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册---屏蔽服 系列4.15\按商品拆分\002_750kV带电作业用屏蔽服
3,1000kV带电作业用屏蔽服,,HYF-3703,8,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册---屏蔽服 系列4.15\按商品拆分\003_1000kV带电作业用屏蔽服
4,500kV交流高压静电服,,HYF-3901,8,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册---屏蔽服 系列4.15\按商品拆分\004_500kV交流高压静电服
