index,title,series,sku,image_count,folder
1,连帽洁净大褂,主推产品册模版：,HYF-6A06,6,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册模版-洁净服4.10\按商品拆分\001_连帽洁净大褂
2,三连 体插肩袖洁净服,,HYF-6A06,4,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册模版-洁净服4.10\按商品拆分\002_三连 体插肩袖洁净服
3,生物制药分体洁净服,,HYF-6A45,3,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册模版-洁净服4.10\按商品拆分\003_生物制药分体洁净服
4,生物制药用三连体洁净服,,HYF-6A27,1,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册模版-洁净服4.10\按商品拆分\004_生物制药用三连体洁净服
5,一次性工业防护服,,HYF-6811,1,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册模版-洁净服4.10\按商品拆分\005_一次性工业防护服
